trial_type,sequence_label,block,item_id,condition,group,list_id,typicality,visual_availability,color,audio,left_object,right_object,left_color,right_color,left_image,right_image,left_role,right_role,attention_question,attention_key,correct_key
critical,main-block-2,2,item_06,TYP_FULL,C,List 3,typical,full-color,red,cue_red.wav,bowl,tomato,red,red,objects/full_color/red_bowl.jpg,objects/full_color/red_tomato.jpg,color_variable,color_associated,,,
critical,main-block-2,2,item_07,ATYP_GRAY,C,List 3,atypical,grayscale,yellow,cue_yellow.wav,bucket,frog,gray,gray,objects/grayscale/yellow_bucket_gray.jpg,objects/grayscale/yellow_frog_gray.jpg,color_variable,color_associated,,,
critical,main-block-2,2,item_08,TYP_GRAY,C,List 3,typical,grayscale,yellow,cue_yellow.wav,corn,backpack,gray,gray,objects/grayscale/yellow_corn_gray.jpg,objects/grayscale/yellow_backpack_gray.jpg,color_associated,color_variable,Which one can hold items within?,J,
filler,main-block-3,3,filler_04,FILLER,C,List 3,,full-color,pink,cue_pink.wav,wallet,pencil,blue,pink,objects/full_color/blue_wallet.jpg,objects/full_color/pink_pencil.jpg,filler_left,filler_right,,,J
critical,main-block-3,3,item_09,ATYP_FULL,C,List 3,atypical,full-color,purple,cue_purple.wav,construction helmet,umbrella,purple,purple,objects/full_color/purple_construction_helmet.jpg,objects/full_color/purple_umbrella.jpg,color_associated,color_variable,Which one was the object used when it rains?,J,
critical,main-block-4,4,item_10,TYP_FULL,C,List 3,typical,full-color,purple,cue_purple.wav,chair,eggplant,purple,purple,objects/full_color/purple_chair.jpg,objects/full_color/purple_eggplant.jpg,color_variable,color_associated,,,
critical,main-block-4,4,item_11,ATYP_GRAY,C,List 3,atypical,grayscale,blue,cue_blue.wav,suitcase,pumpkin,gray,gray,objects/grayscale/blue_suitcase_gray.jpg,objects/grayscale/blue_pumpkin_gray.jpg,color_variable,color_associated,,,
critical,main-block-4,4,item_12,TYP_GRAY,C,List 3,typical,grayscale,blue,cue_blue.wav,jeans,notebook,gray,gray,objects/grayscale/blue_jeans_gray.jpg,objects/grayscale/blue_notebook_gray.jpg,color_associated,color_variable,,,
filler,main-block-4,4,filler_01,FILLER,C,List 3,,full-color,blue,cue_blue.wav,cup,plate,blue,yellow,objects/full_color/blue_cup.jpg,objects/full_color/yellow_plate.jpg,filler_left,filler_right,,,F
critical,main-block-4,4,item_13,ATYP_FULL,C,List 3,atypical,full-color,pink,cue_pink.wav,rubber duck,soap dispenser,pink,pink,objects/full_color/pink_rubber_duck.jpg,objects/full_color/pink_soap_dispenser.jpg,color_associated,color_variable,,,
critical,main-block-4,4,item_14,TYP_FULL,C,List 3,typical,full-color,orange,cue_orange.wav,desk lamp,traffic cone,orange,orange,objects/full_color/orange_desk_lamp.jpg,objects/full_color/orange_traffic_cone.jpg,color_variable,color_associated,,,
critical,main-block-4,4,item_15,ATYP_GRAY,C,List 3,atypical,grayscale,blue,cue_blue.wav,water bottle,fire extinguisher,gray,gray,objects/grayscale/blue_water_bottle_gray.jpg,objects/grayscale/blue_fire_extinguisher_gray.jpg,color_variable,color_associated,Which one is used only for emergencies?,J,
critical,main-block-5,5,item_16,TYP_GRAY,C,List 3,typical,grayscale,pink,cue_pink.wav,piggy bank,mug,gray,gray,objects/grayscale/pink_piggy_bank_gray.jpg,objects/grayscale/pink_mug_gray.jpg,color_associated,color_variable,,,
filler,main-block-5,5,filler_02,FILLER,C,List 3,,full-color,green,cue_green.wav,notebook,bag,orange,green,objects/full_color/orange_notebook.jpg,objects/full_color/green_bag.jpg,filler_left,filler_right,,,J
